fine_template,count
PRP + VBZ + NNP,1
VB + JJ,1
NNS + CC + NNS,1
NN + IN + DT + JJ + NN,1
JJ + JJ + NNS,1
NN + NN + VBZ + VBG,1
DT + NN + IN + NN + CC + PRP$ + NN,1
DT + JJ + NNS + IN,1
RB + RB + JJ + NNP + NNP + CC + PRP$ + NNS,1
RB + JJ + RB + RB + JJ + NN + NN + CC + VBG,1
JJ + NN + VBZ + IN + DT + NN + NN,1
NNP + NN + VBZ + RP + DT + JJ + NN,1
NNP + VBZ + DT + JJ + NNS + IN + DT + JJ,1
VBZ + VBG + DT + NN + IN + NN,1
VBG + VBN + NN + TO + VB + VBG,1
VBZ + RP + DT + JJ + NN + IN + PRP$ + JJ + NNS,1
JJ + NN + CC + IN + DT + NN + DT + NN,1
NNS + NN + NN,1
VBG + IN + JJ,1
NN + POS + NNS + NN,1
JJ + NNP,1
JJ + NNS + RB,1
NNS + VBP + UH,1
JJ + RP,1
DT + NN + NN,1
VBN + NN + VBZ,1
LS + NN + JJS,1
VBD + NNP + NNP + VBG,1
CC + CD + NN,1
CD + NNS + NN,1
VBG + RP + IN + NN,1
NN + NN + NNS + NN,1
NN + NNPS + VBD,1
NNS + VBG + CC + VBG,1
VBG + VBG + NN + VBG + VBG + VBG,1
NN + NNS + JJ + NNS,1
VB + JJ + NN + NNS,1
NN + NNP + NNS + CC + NNS,1
NN + NNP + NNS + CC + VBZ + DT + RBR,1
NN + NNP + VBZ + RB + VBG + DT + JJ + NN,1
NN + VB + NN,1
JJ + CC + RB + NN + NNS,1
JJ + NN + NNS + VB + JJ + NN,1
VB + JJ + NNS,1
NNP + NN + NNS + CC + NNS,1
VB + VB + NN + NNP + NN + VBG,1
NNS + CC + NN + VBP,1
PRP + MD,1
JJ + CD,1
NN + NNS + NNS + IN + NN,1
VB + NNS + CC + VBZ,1
NNP + NNP + JJ + NNS,1
JJ + NN + JJ + NN,1
DT + NNS + VBG,1
RB + NN + NNS,1
NNP + VBZ + NNP + NNP,1
CD + NN + NN + NN + NNS,1
NNS + IN + DT + NN + NN + NNS,1
NNS + JJ + NN + NNS,1
JJ + JJ + NN + IN + NNP,1
NNP + NNP + JJ,1
TO + VB,1
VBZ + NN + NN + IN + NNS,1
VBN + IN + NNP + NN,1
CD + VBP + CD + VBP + CD + CD,1
CD + VBP + CD + NN,1
IN + JJ + JJ + NNS + RB + VBP,1
IN + JJ + NNP,1
NNP + IN + NN,1
WP + VBZ + DT + NN + NN + VBG + IN,1
NNP + PRP + VBP + RB + RB,1
DT + CD + NN + NNS + VBP + JJ,1
NN + IN + NN + CD,1
NNS + IN + NN + CC + NN,1
NNP + POS + NN,1
CC + MD + RB + VB + PRP$ + NN,1
DT + JJ + NN + VBZ + RP,1
VBN + IN + DT + JJ + NN,1
MD + PRP + VB + PRP + DT + NN,1
VBZ + DT + JJ + NN + JJR + RB,1
PRP + VBP + CD + NNS + RB,1
PRP + MD + RB + VB + DT + NN + IN + PRP$ + NN,1
NN + PRP + CD,1
VB + PRP + VB,1
WP + PRP + RB + VBD + IN,1
RB + PRP + VBZ,1
WRB + WRB,1
DT + VBZ + RB + VB,1
JJ + TO + VB + PRP,1
PRP + VBZ + RB + JJ + NNP,1
