coarse_template,count
ADJ + NOUN + NOUN + VERB + ADJ + NOUN,1
PROPN + NOUN + NOUN + CCONJ + NOUN,1
VERB + VERB + NOUN + PROPN + NOUN + VERB,1
PRON + AUX,1
ADJ + NUM,1
NOUN + NOUN + NOUN + ADP + NOUN,1
PROPN + PROPN + ADJ + NOUN,1
ADJ + NOUN + ADJ + NOUN,1
ADV + NOUN + NOUN,1
PROPN + VERB + PROPN + PROPN,1
NUM + NOUN + NOUN + NOUN + NOUN,1
NOUN + ADP + DET + NOUN + NOUN + NOUN,1
ADJ + ADJ + NOUN + ADP + PROPN,1
PROPN + PROPN + ADJ,1
PART + VERB,1
VERB + NOUN + NOUN + ADP + NOUN,1
NUM + VERB + NUM + VERB + NUM + NUM,1
NUM + VERB + NUM + NOUN,1
SCONJ + ADJ + ADJ + NOUN + ADV + VERB,1
SCONJ + ADJ + PROPN,1
PROPN + ADP + NOUN,1
PRON + AUX + DET + NOUN + NOUN + VERB + ADP,1
PROPN + PRON + AUX + ADV + ADV,1
DET + NUM + NOUN + NOUN + VERB + ADJ,1
NOUN + ADP + NOUN + NUM,1
NOUN + ADP + NOUN + CCONJ + NOUN,1
PROPN + PART + NOUN,1
CCONJ + AUX + PART + VERB + PRON + NOUN,1
DET + ADJ + NOUN + VERB + ADP,1
VERB + ADP + DET + ADJ + NOUN,1
AUX + PRON + VERB + PRON + DET + NOUN,1
AUX + DET + ADJ + NOUN + ADJ + ADV,1
PRON + VERB + NUM + NOUN + ADV,1
PRON + AUX + PART + VERB + DET + NOUN + ADP + PRON + NOUN,1
NOUN + PRON + NUM,1
VERB + PRON + VERB,1
PRON + PRON + ADV + VERB + ADP,1
ADV + PRON + VERB,1
SCONJ + SCONJ,1
PRON + AUX + PART + VERB,1
ADJ + PART + VERB + PRON,1
PRON + AUX + ADV + ADJ + PROPN,1
ADV + ADV + DET + NOUN + VERB,1
DET + ADJ + NOUN + VERB + ADV,1
INTJ + PRON + AUX + ADJ,1
NOUN + AUX + PART + VERB + ADP + PRON,1
PROPN + PART + ADJ + NOUN + PROPN,1
AUX + PRON + ADP + DET + ADJ,1
DET + NOUN + VERB + ADP + PRON + NOUN,1
VERB + ADP + PRON + NOUN,1
PRON + AUX + VERB + ADP + PRON + NOUN + ADV,1
ADJ + ADP + NOUN,1
PRON + VERB + PRON + ADJ + NOUN,1
ADV + NUM + NOUN + ADV,1
ADV + VERB + ADP + PRON + NOUN,1
ADV + ADV + AUX + DET + ADJ + NOUN,1
DET + NOUN + ADP + PRON + NOUN + ADV + VERB,1
DET + ADJ + NOUN + PART + ADJ + NOUN,1
PROPN + DET + ADJ + NOUN,1
SCONJ + AUX + DET + ADJ + NOUN + VERB,1
ADJ + ADP + DET + NOUN,1
ADV + ADP + AUX + ADJ,1
PROPN + PRON + NUM,1
SCONJ + DET + NOUN + PRON + VERB + ADV + VERB + ADV,1
DET + NOUN + ADP + PRON + VERB + PART + VERB + ADJ,1
PRON + AUX + DET + ADJ + NOUN + PROPN + PART + NOUN,1
SCONJ + PRON + AUX + ADP + PRON,1
NOUN + AUX + ADV + NOUN + ADP + ADV,1
PRON + AUX + AUX + VERB + ADV,1
NOUN + AUX + AUX + VERB + ADV,1
DET + NOUN + VERB + ADP + NUM,1
DET + NOUN + AUX + ADV + VERB,1
VERB + NUM + NOUN + ADP + ADJ + NOUN,1
PRON + VERB + ADV + ADV + ADP + NOUN + NOUN,1
VERB + PRON + NOUN,1
ADV + VERB + PROPN + NOUN + NOUN,1
SCONJ + NOUN + PROPN + PART + NOUN + NOUN,1
DET + NOUN + ADP + ADJ + NUM + PART + NOUN,1
PRON + NOUN,1
SCONJ + PRON + VERB + DET + NOUN,1
PRON + PART + ADJ,1
PRON + AUX + PRON + VERB + ADV,1
VERB + PRON + PART + VERB,1
DET + NOUN + AUX + ADJ,1
DET + NOUN + ADV + VERB,1
INTJ + NOUN,1
NUM + NOUN + NOUN + NOUN + CCONJ + NUM + NOUN,1
DET + NOUN + ADV + VERB + ADP,1
PROPN + VERB + DET + NOUN + NOUN,1
NOUN + NOUN + DET + ADJ + NOUN,1
DET + NOUN + AUX + VERB + ADP + NOUN,1
PROPN + AUX + DET + NOUN + ADJ + PART + VERB + PRON + NOUN,1
PRON + AUX + VERB + ADP,1
PRON + AUX + DET + NOUN + ADP,1
AUX + PRON + NOUN + VERB + ADV,1
PRON + AUX + PRON,1
PRON + ADP + DET + NOUN + AUX + PRON + ADP,1
PRON + VERB + PART + VERB + PRON + ADP,1
PRON + NOUN + AUX + AUX + VERB,1
AUX + PRON + AUX + ADJ + PART + VERB + ADP + PRON + PROPN,1
ADV + ADV + ADV + ADV,1
INTJ + INTJ + AUX + PART + VERB + ADP,1
DET + NUM + NOUN + AUX + VERB,1
PRON + AUX + DET + NUM + NOUN + VERB + PART + VERB,1
PROPN + PART + VERB + ADP + NOUN + NOUN + VERB,1
VERB + PART + VERB + ADJ,1
CCONJ + ADJ + AUX,1
ADJ + ADP + NOUN + NOUN + ADP + NOUN,1
PRON + NOUN + VERB + PART + VERB + ADP + NOUN,1
ADP + DET + ADJ + NUM + NOUN,1
ADV + NUM + ADJ + ADP + NOUN + NOUN,1
ADV + ADJ + ADP + VERB + DET + NOUN,1
PRON + AUX + NOUN + VERB + PART + VERB,1
SCONJ + PRON + VERB + PRON + VERB,1
CCONJ + PROPN + VERB + PART + VERB + PRON + ADP,1
VERB + ADP + DET + NOUN,1
PRON + AUX + NOUN + PART + VERB + NOUN + ADP + DET + NOUN,1
PROPN + VERB + NUM + NOUN,1
NOUN + AUX + VERB + ADP + NUM + ADP + NUM,1
PRON + AUX + DET + NOUN + NOUN,1
ADJ + CCONJ + NOUN + NOUN,1
VERB + ADV + ADJ,1
PROPN + INTJ,1
PROPN + PRON + AUX + ADV + ADJ,1
NOUN + ADV + VERB + ADP,1
VERB + VERB + NOUN + CCONJ + PART + VERB + NOUN,1
NOUN + PROPN,1
PROPN + VERB + ADP + PROPN,1
PROPN + PROPN + NOUN + ADP + DET + NOUN,1
PUNCT,1
NOUN + SYM + NOUN,1
NOUN + ADV + NOUN,1
NOUN + NOUN + ADP,1
NOUN + NOUN + CCONJ + VERB,1
CCONJ,1
ADJ + NOUN + ADP + NOUN + NOUN,1
DET + NOUN + ADP + INTJ + NOUN,1
DET + NOUN + ADP + DET + NOUN + ADV,1
DET + NOUN + ADP + DET + NOUN + NOUN,1
DET + NOUN + ADP + DET + NOUN + PROPN,1
SCONJ + AUX + PRON + VERB + PRON,1
NOUN + AUX + VERB + PRON + NOUN,1
PRON + AUX + ADV + AUX + VERB + PART + VERB + NOUN,1
PROPN + ADJ + NOUN + VERB,1
NOUN + VERB + ADJ + NOUN,1
PROPN + PROPN + PROPN + NOUN,1
PRON + ADV,1
VERB + VERB + VERB,1
ADJ + VERB + ADV,1
ADV + VERB + NOUN,1
PROPN + INTJ + NOUN,1
NOUN + VERB + PRON + PRON,1
PROPN + ADJ + VERB,1
ADP + DET + NOUN + ADJ,1
VERB + INTJ + ADV,1
NOUN + VERB + PROPN + NOUN,1
ADV + NOUN + NOUN + VERB,1
NOUN + VERB + CCONJ + NOUN,1
VERB + ADJ + ADJ,1
INTJ + PART + SCONJ + PRON + VERB,1
PROPN + PROPN + ADP + PROPN,1
PROPN + CCONJ + VERB,1
NOUN + ADP + NOUN + VERB,1
DET + VERB,1
ADJ + PROPN + NOUN + NOUN,1
VERB + NOUN + CCONJ + NOUN,1
DET + NOUN + VERB + NOUN,1
ADJ + CCONJ + VERB,1
VERB + VERB + NOUN + NOUN,1
ADJ + NOUN + VERB + ADV + VERB,1
PRON + VERB + DET + NOUN,1
VERB + DET + ADJ + NOUN + NOUN,1
