coarse_template,frequency,template_length
PRON + VERB + PART + VERB + DET + NOUN + ADP + VERB + ADV,1,9
CCONJ + VERB,1,2
PRON + AUX + VERB + ADP + PROPN + PROPN,1,6
NOUN + ADP + NOUN + VERB + NOUN,1,5
PROPN + PRON + VERB + DET + NOUN + NOUN,1,6
PROPN + PRON + VERB + PRON + VERB + ADJ,1,6
PROPN + PRON + ADJ,1,3
PROPN + ADV + ADJ,1,3
NOUN + VERB + SCONJ + VERB,1,4
NOUN + NOUN + VERB + PRON + NOUN,1,5
PRON + VERB + PART + AUX + PRON,1,5
NOUN + ADP + DET + NOUN,1,4
PRON + AUX + PROPN,1,3
NOUN + ADP + DET + ADJ + NOUN,1,5
NOUN + NOUN + VERB + VERB,1,4
DET + NOUN + ADP + NOUN + CCONJ + PRON + NOUN,1,7
DET + ADJ + NOUN + ADP,1,4
PART + ADV + ADJ + PROPN + PROPN + CCONJ + PRON + NOUN,1,8
ADV + ADJ + ADV + ADV + ADJ + NOUN + NOUN + CCONJ + VERB,1,9
ADJ + NOUN + VERB + ADP + DET + NOUN + NOUN,1,7
PROPN + NOUN + VERB + ADP + DET + ADJ + NOUN,1,7
PROPN + VERB + DET + ADJ + NOUN + ADP + DET + ADJ,1,8
VERB + VERB + DET + NOUN + ADP + NOUN,1,6
VERB + VERB + NOUN + PART + VERB + VERB,1,6
VERB + ADP + DET + ADJ + NOUN + ADP + PRON + ADJ + NOUN,1,9
ADJ + NOUN + CCONJ + ADP + DET + NOUN + DET + NOUN,1,8
NOUN + PART + NOUN + NOUN,1,4
ADJ + PROPN,1,2
ADJ + NOUN + ADV,1,3
NOUN + VERB + INTJ,1,3
ADJ + ADP,1,2
DET + NOUN + NOUN,1,3
X + NOUN + ADJ,1,3
VERB + PROPN + PROPN + VERB,1,4
CCONJ + NUM + NOUN,1,3
NUM + NOUN + NOUN,1,3
VERB + ADP + ADP + NOUN,1,4
NOUN + NOUN + NOUN + NOUN,1,4
NOUN + PROPN + VERB,1,3
VERB + VERB + NOUN + VERB + VERB + VERB,1,6
NOUN + NOUN + ADJ + NOUN,1,4
VERB + ADJ + NOUN + NOUN,1,4
NOUN + PROPN + NOUN + CCONJ + NOUN,1,5
NOUN + PROPN + NOUN + CCONJ + VERB + PRON + ADV,1,7
NOUN + PROPN + AUX + PART + VERB + DET + ADJ + NOUN,1,8
ADJ + CCONJ + ADV + NOUN + NOUN,1,5
ADJ + NOUN + NOUN + VERB + ADJ + NOUN,1,6
PROPN + NOUN + NOUN + CCONJ + NOUN,1,5
VERB + VERB + NOUN + PROPN + NOUN + VERB,1,6
PRON + AUX,1,2
NOUN + NOUN + NOUN + ADP + NOUN,1,5
ADJ + NUM,1,2
PROPN + PROPN + ADJ + NOUN,1,4
ADJ + NOUN + ADJ + NOUN,1,4
ADV + NOUN + NOUN,1,3
NUM + NOUN + NOUN + NOUN + NOUN,1,5
NOUN + ADP + DET + NOUN + NOUN + NOUN,1,6
PROPN + VERB + PROPN + PROPN,1,4
ADJ + ADJ + NOUN + ADP + PROPN,1,5
PROPN + PROPN + ADJ,1,3
PART + VERB,1,2
VERB + NOUN + NOUN + ADP + NOUN,1,5
NUM + VERB + NUM + VERB + NUM + NUM,1,6
NUM + VERB + NUM + NOUN,1,4
SCONJ + ADJ + ADJ + NOUN + ADV + VERB,1,6
SCONJ + ADJ + PROPN,1,3
PROPN + ADP + NOUN,1,3
PRON + AUX + DET + NOUN + NOUN + VERB + ADP,1,7
PROPN + PRON + AUX + ADV + ADV,1,5
DET + NUM + NOUN + NOUN + VERB + ADJ,1,6
NOUN + ADP + NOUN + NUM,1,4
NOUN + ADP + NOUN + CCONJ + NOUN,1,5
PROPN + PART + NOUN,1,3
CCONJ + AUX + PART + VERB + PRON + NOUN,1,6
DET + ADJ + NOUN + VERB + ADP,1,5
VERB + ADP + DET + ADJ + NOUN,1,5
AUX + PRON + VERB + PRON + DET + NOUN,1,6
AUX + DET + ADJ + NOUN + ADJ + ADV,1,6
PRON + VERB + NUM + NOUN + ADV,1,5
PRON + AUX + PART + VERB + DET + NOUN + ADP + PRON + NOUN,1,9
NOUN + PRON + NUM,1,3
VERB + PRON + VERB,1,3
PRON + PRON + ADV + VERB + ADP,1,5
ADV + PRON + VERB,1,3
SCONJ + SCONJ,1,2
PRON + AUX + PART + VERB,1,4
ADJ + PART + VERB + PRON,1,4
PRON + AUX + ADV + ADJ + PROPN,1,5
ADV + ADV + DET + NOUN + VERB,1,5
DET + ADJ + NOUN + VERB + ADV,1,5
INTJ + PRON + AUX + ADJ,1,4
NOUN + AUX + PART + VERB + ADP + PRON,1,6
PROPN + PART + ADJ + NOUN + PROPN,1,5
AUX + PRON + ADP + DET + ADJ,1,5
DET + NOUN + VERB + ADP + PRON + NOUN,1,6
VERB + ADP + PRON + NOUN,1,4
PRON + AUX + VERB + ADP + PRON + NOUN + ADV,1,7
ADJ + ADP + NOUN,1,3
PRON + VERB + PRON + ADJ + NOUN,1,5
ADV + NUM + NOUN + ADV,1,4
ADV + VERB + ADP + PRON + NOUN,1,5
ADV + ADV + AUX + DET + ADJ + NOUN,1,6
DET + NOUN + ADP + PRON + NOUN + ADV + VERB,1,7
DET + ADJ + NOUN + PART + ADJ + NOUN,1,6
PROPN + DET + ADJ + NOUN,1,4
SCONJ + AUX + DET + ADJ + NOUN + VERB,1,6
ADJ + ADP + DET + NOUN,1,4
ADV + ADP + AUX + ADJ,1,4
PROPN + PRON + NUM,1,3
SCONJ + DET + NOUN + PRON + VERB + ADV + VERB + ADV,1,8
DET + NOUN + ADP + PRON + VERB + PART + VERB + ADJ,1,8
PRON + AUX + DET + ADJ + NOUN + PROPN + PART + NOUN,1,8
SCONJ + PRON + AUX + ADP + PRON,1,5
NOUN + AUX + ADV + NOUN + ADP + ADV,1,6
PRON + AUX + AUX + VERB + ADV,1,5
NOUN + AUX + AUX + VERB + ADV,1,5
DET + NOUN + VERB + ADP + NUM,1,5
DET + NOUN + AUX + ADV + VERB,1,5
VERB + NUM + NOUN + ADP + ADJ + NOUN,1,6
PRON + VERB + ADV + ADV + ADP + NOUN + NOUN,1,7
VERB + PRON + NOUN,1,3
ADV + VERB + PROPN + NOUN + NOUN,1,5
SCONJ + NOUN + PROPN + PART + NOUN + NOUN,1,6
DET + NOUN + ADP + ADJ + NUM + PART + NOUN,1,7
PRON + NOUN,1,2
SCONJ + PRON + VERB + DET + NOUN,1,5
PRON + PART + ADJ,1,3
PRON + AUX + PRON + VERB + ADV,1,5
VERB + PRON + PART + VERB,1,4
DET + NOUN + AUX + ADJ,1,4
DET + NOUN + ADV + VERB,1,4
INTJ + NOUN,1,2
NUM + NOUN + NOUN + NOUN + CCONJ + NUM + NOUN,1,7
DET + NOUN + ADV + VERB + ADP,1,5
PROPN + VERB + DET + NOUN + NOUN,1,5
NOUN + NOUN + DET + ADJ + NOUN,1,5
DET + NOUN + AUX + VERB + ADP + NOUN,1,6
PROPN + AUX + DET + NOUN + ADJ + PART + VERB + PRON + NOUN,1,9
PRON + AUX + VERB + ADP,1,4
PRON + AUX + DET + NOUN + ADP,1,5
AUX + PRON + NOUN + VERB + ADV,1,5
PRON + AUX + PRON,1,3
PRON + ADP + DET + NOUN + AUX + PRON + ADP,1,7
PRON + VERB + PART + VERB + PRON + ADP,1,6
PRON + NOUN + AUX + AUX + VERB,1,5
AUX + PRON + AUX + ADJ + PART + VERB + ADP + PRON + PROPN,1,9
DET + NUM + NOUN + AUX + VERB,1,5
PRON + AUX + DET + NUM + NOUN + VERB + PART + VERB,1,8
PROPN + PART + VERB + ADP + NOUN + NOUN + VERB,1,7
VERB + PART + VERB + ADJ,1,4
CCONJ + ADJ + AUX,1,3
ADJ + ADP + NOUN + NOUN + ADP + NOUN,1,6
PRON + NOUN + VERB + PART + VERB + ADP + NOUN,1,7
ADP + DET + ADJ + NUM + NOUN,1,5
ADV + NUM + ADJ + ADP + NOUN + NOUN,1,6
